kb_item_id,资料名称,资料类型,学科,年级,册次,单元,课题,来源,版本,权限级别,是否可用于AI生成,是否可公开展示,文件路径或URL,内容库对象ID,设计版本ID,parse_status,source_status,服务阶段,适用场景,引用关系,入库阶段,备注,updated_at
kb_art_g4_lesson_case_1_a23377859c,课时1 下雨啰 教案,教案,美术,四年级,下册,第三单元 自然·生命,下雨啰,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_1_a23377859c_课时1_下雨啰_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时1_下雨啰_教案.md 用于检索解析；已读取 课时1_下雨啰_教案.md，共提取约 38 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_2_d75417e287,课时2 下雨啰 教案,教案,美术,四年级,下册,第三单元 自然·生命,下雨啰,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_2_d75417e287_课时2_下雨啰_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时2_下雨啰_教案.md 用于检索解析；已读取 课时2_下雨啰_教案.md，共提取约 35 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_3_2d5d3ed6be,课时3 鸟和家禽 教案,教案,美术,四年级,下册,第三单元 自然·生命,鸟和家禽,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_3_2d5d3ed6be_课时3_鸟和家禽_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时3_鸟和家禽_教案.md 用于检索解析；已读取 课时3_鸟和家禽_教案.md，共提取约 35 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_4_8b80064413,课时4 鸟和家禽 教案,教案,美术,四年级,下册,第三单元 自然·生命,鸟和家禽,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_4_8b80064413_课时4_鸟和家禽_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时4_鸟和家禽_教案.md 用于检索解析；已读取 课时4_鸟和家禽_教案.md，共提取约 33 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_5_f70af2b06c,课时5 我是一只小小鸟 教案,教案,美术,四年级,下册,第三单元 自然·生命,我是一只小小鸟,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_5_f70af2b06c_课时5_我是一只小小鸟_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时5_我是一只小小鸟_教案.md 用于检索解析；已读取 课时5_我是一只小小鸟_教案.md，共提取约 36 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_6_7a419923cf,课时6 我是一只小小鸟 教案,教案,美术,四年级,下册,第三单元 自然·生命,我是一只小小鸟,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_6_7a419923cf_课时6_我是一只小小鸟_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时6_我是一只小小鸟_教案.md 用于检索解析；已读取 课时6_我是一只小小鸟_教案.md，共提取约 37 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_lesson_ac8979dfdf,四年级第二单元 编织纸艺 备课文档,教案,美术,四年级,下册,第二单元 编织·纸艺,第二单元 编织·纸艺,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_lesson_ac8979dfdf_四年级第二单元_编织纸艺_备课文档.md,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；已读取 四年级第二单元_编织纸艺_备课文档.md，共提取约 342 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_lesson_851afec6a2,第二单元 编织·纸艺 备课文档,教案,美术,四年级,下册,第二单元 编织·纸艺,第二单元 编织·纸艺,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_lesson_851afec6a2_第二单元_编织·纸艺_备课文档.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 第二单元_编织·纸艺_备课文档.md 用于检索解析；已读取 第二单元_编织·纸艺_备课文档.md，共提取约 259 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_1_39f6102808,课时1 穿穿编编 教案,教案,美术,四年级,下册,第二单元 编织·纸艺,穿穿编编,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_1_39f6102808_课时1_穿穿编编_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时1_穿穿编编_教案.md 用于检索解析；已读取 课时1_穿穿编编_教案.md，共提取约 37 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_2_0036883aec,课时2 穿穿编编 教案,教案,美术,四年级,下册,第二单元 编织·纸艺,穿穿编编,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_2_0036883aec_课时2_穿穿编编_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时2_穿穿编编_教案.md 用于检索解析；已读取 课时2_穿穿编编_教案.md，共提取约 35 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_3_6c8920ab14,课时3 纸卷魔术 教案,教案,美术,四年级,下册,第二单元 编织·纸艺,纸卷魔术,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_3_6c8920ab14_课时3_纸卷魔术_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时3_纸卷魔术_教案.md 用于检索解析；已读取 课时3_纸卷魔术_教案.md，共提取约 36 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_4_44ffd9320d,课时4 纸卷魔术 教案,教案,美术,四年级,下册,第二单元 编织·纸艺,纸卷魔术,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_4_44ffd9320d_课时4_纸卷魔术_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时4_纸卷魔术_教案.md 用于检索解析；已读取 课时4_纸卷魔术_教案.md，共提取约 34 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_5_6f7cf44ef5,课时5 套色纸版画 教案,教案,美术,四年级,下册,第二单元 编织·纸艺,套色纸版画,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_5_6f7cf44ef5_课时5_套色纸版画_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时5_套色纸版画_教案.md 用于检索解析；已读取 课时5_套色纸版画_教案.md，共提取约 38 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_6_27327b4c77,课时6 套色纸版画 教案,教案,美术,四年级,下册,第二单元 编织·纸艺,套色纸版画,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_6_27327b4c77_课时6_套色纸版画_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时6_套色纸版画_教案.md 用于检索解析；已读取 课时6_套色纸版画_教案.md，共提取约 35 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_lesson_9511558c8d,第五单元 创意·表现 备课文档,教案,美术,四年级,下册,第五单元 创意·表现,第五单元 创意·表现,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_lesson_9511558c8d_第五单元_创意·表现_备课文档.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 第五单元_创意·表现_备课文档.md 用于检索解析；已读取 第五单元_创意·表现_备课文档.md，共提取约 263 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_1_4f35a8ea69,课时1 儿歌与童话 教案,教案,美术,四年级,下册,第五单元 创意·表现,儿歌与童话,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_1_4f35a8ea69_课时1_儿歌与童话_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时1_儿歌与童话_教案.md 用于检索解析；已读取 课时1_儿歌与童话_教案.md，共提取约 36 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_2_6747930adb,课时2 儿歌与童话 教案,教案,美术,四年级,下册,第五单元 创意·表现,儿歌与童话,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_2_6747930adb_课时2_儿歌与童话_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时2_儿歌与童话_教案.md 用于检索解析；已读取 课时2_儿歌与童话_教案.md，共提取约 34 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_3_25789b61ea,课时3 最快的作品 教案,教案,美术,四年级,下册,第五单元 创意·表现,最快的作品,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_3_25789b61ea_课时3_最快的作品_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时3_最快的作品_教案.md 用于检索解析；已读取 课时3_最快的作品_教案.md，共提取约 35 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_4_c340196060,课时4 听音乐画音乐 教案,教案,美术,四年级,下册,第五单元 创意·表现,听音乐画音乐,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_4_c340196060_课时4_听音乐画音乐_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时4_听音乐画音乐_教案.md 用于检索解析；已读取 课时4_听音乐画音乐_教案.md，共提取约 37 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_5_4517a30cb0,课时5 吹气投篮 教案,教案,美术,四年级,下册,第五单元 创意·表现,吹气投篮,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_5_4517a30cb0_课时5_吹气投篮_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时5_吹气投篮_教案.md 用于检索解析；已读取 课时5_吹气投篮_教案.md，共提取约 38 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_6_2e3fb3f873,课时6 吹气投篮 教案,教案,美术,四年级,下册,第五单元 创意·表现,吹气投篮,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_6_2e3fb3f873_课时6_吹气投篮_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时6_吹气投篮_教案.md 用于检索解析；已读取 课时6_吹气投篮_教案.md，共提取约 38 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_lesson_645ec9a4a8,第四单元 纹样·传统 备课文档,教案,美术,四年级,下册,第四单元 纹样·传统,第四单元 纹样·传统,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_lesson_645ec9a4a8_第四单元_纹样·传统_备课文档.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 第四单元_纹样·传统_备课文档.md 用于检索解析；已读取 第四单元_纹样·传统_备课文档.md，共提取约 195 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_1_fd9363a299,课时1 鸟的纹样 教案,教案,美术,四年级,下册,第四单元 纹样·传统,鸟的纹样,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_1_fd9363a299_课时1_鸟的纹样_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时1_鸟的纹样_教案.md 用于检索解析；已读取 课时1_鸟的纹样_教案.md，共提取约 36 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_2_61859657d6,课时2 鸟的纹样 教案,教案,美术,四年级,下册,第四单元 纹样·传统,鸟的纹样,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_2_61859657d6_课时2_鸟的纹样_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时2_鸟的纹样_教案.md 用于检索解析；已读取 课时2_鸟的纹样_教案.md，共提取约 35 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_3_140408e5b1,课时3 水墨画鸟 教案,教案,美术,四年级,下册,第四单元 纹样·传统,水墨画鸟,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_3_140408e5b1_课时3_水墨画鸟_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时3_水墨画鸟_教案.md 用于检索解析；已读取 课时3_水墨画鸟_教案.md，共提取约 38 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_4_6b751c7001,课时4 水墨画鸟 教案,教案,美术,四年级,下册,第四单元 纹样·传统,水墨画鸟,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_4_6b751c7001_课时4_水墨画鸟_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时4_水墨画鸟_教案.md 用于检索解析；已读取 课时4_水墨画鸟_教案.md，共提取约 36 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_lesson_148901d3d2,第一单元 对比与和谐 备课文档,教案,美术,四年级,下册,第一单元 对比与和谐,第一单元 对比与和谐,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_lesson_148901d3d2_第一单元_对比与和谐_备课文档.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 第一单元_对比与和谐_备课文档.md 用于检索解析；已读取 第一单元_对比与和谐_备课文档.md，共提取约 198 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_1_dc37d1bb1e,课时1 色彩的对比 教案,教案,美术,四年级,下册,第一单元 对比与和谐,色彩的对比,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_1_dc37d1bb1e_课时1_色彩的对比_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时1_色彩的对比_教案.md 用于检索解析；已读取 课时1_色彩的对比_教案.md，共提取约 102 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_2_688deacf81,课时2 色彩的和谐 教案,教案,美术,四年级,下册,第一单元 对比与和谐,色彩的和谐,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_2_688deacf81_课时2_色彩的和谐_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时2_色彩的和谐_教案.md 用于检索解析；已读取 课时2_色彩的和谐_教案.md，共提取约 101 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_3_2f9da86b5d,课时3 对比的艺术 教案,教案,美术,四年级,下册,第一单元 对比与和谐,对比的艺术,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_3_2f9da86b5d_课时3_对比的艺术_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时3_对比的艺术_教案.md 用于检索解析；已读取 课时3_对比的艺术_教案.md，共提取约 101 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_lesson_ebca5dc784,第三单元 自然生命 备课文档,教案,美术,四年级,下册,第三单元 自然·生命,第三单元 自然·生命,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_lesson_ebca5dc784_第三单元_自然生命_备课文档.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 第三单元_自然生命_备课文档.md 用于检索解析；已读取 第三单元_自然生命_备课文档.md，共提取约 264 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_1_132144fe0b,课时1 下雨啰 教案,教案,美术,四年级,下册,第三单元 自然·生命,下雨啰,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_1_132144fe0b_课时1_下雨啰_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时1_下雨啰_教案.md 用于检索解析；已读取 课时1_下雨啰_教案.md，共提取约 107 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_2_4ec4394842,课时2 下雨啰 教案,教案,美术,四年级,下册,第三单元 自然·生命,下雨啰,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_2_4ec4394842_课时2_下雨啰_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时2_下雨啰_教案.md 用于检索解析；已读取 课时2_下雨啰_教案.md，共提取约 108 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_3_851325e4a4,课时3 鸟和家禽 教案,教案,美术,四年级,下册,第三单元 自然·生命,鸟和家禽,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_3_851325e4a4_课时3_鸟和家禽_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时3_鸟和家禽_教案.md 用于检索解析；已读取 课时3_鸟和家禽_教案.md，共提取约 106 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_4_257eecbc30,课时4 鸟和家禽 教案,教案,美术,四年级,下册,第三单元 自然·生命,鸟和家禽,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_4_257eecbc30_课时4_鸟和家禽_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时4_鸟和家禽_教案.md 用于检索解析；已读取 课时4_鸟和家禽_教案.md，共提取约 107 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_5_505e89cbae,课时5 我是小小鸟 教案,教案,美术,四年级,下册,第三单元 自然·生命,我是小小鸟,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_5_505e89cbae_课时5_我是小小鸟_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时5_我是小小鸟_教案.md 用于检索解析；已读取 课时5_我是小小鸟_教案.md，共提取约 104 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_6_d96205642c,课时6 我是小小鸟 教案,教案,美术,四年级,下册,第三单元 自然·生命,我是小小鸟,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_6_d96205642c_课时6_我是小小鸟_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时6_我是小小鸟_教案.md 用于检索解析；已读取 课时6_我是小小鸟_教案.md，共提取约 108 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_lesson_39eceac5f3,第二单元 编织纸艺 备课文档,教案,美术,四年级,下册,第二单元 编织·纸艺,第二单元 编织·纸艺,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_lesson_39eceac5f3_第二单元_编织纸艺_备课文档.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 第二单元_编织纸艺_备课文档.md 用于检索解析；已读取 第二单元_编织纸艺_备课文档.md，共提取约 306 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_1_b3fce2f0e6,课时1 经纬交织 教案,教案,美术,四年级,下册,第二单元 编织·纸艺,经纬交织,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_1_b3fce2f0e6_课时1_经纬交织_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时1_经纬交织_教案.md 用于检索解析；已读取 课时1_经纬交织_教案.md，共提取约 107 行正文。,2026-04-27T21:48:12
kb_art_g4_lesson_case_2_afbb8ed767,课时2 编织纹样 教案,教案,美术,四年级,下册,第二单元 编织·纸艺,编织纹样,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_2_afbb8ed767_课时2_编织纹样_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 课时2_编织纹样_教案.md 用于检索解析；已读取 课时2_编织纹样_教案.md，共提取约 105 行正文。,2026-04-27T21:48:12
